none pron.没有人 ad.毫不
nonsense n.胡说，废话
noon n.正午，中午
nor conj.也不；不
normal a.正常的，普通的
normally ad.通常，正常地
north n.北，北方 a.北方的
northeast n.东北 a.位于东北的
northern a.北方的，北部的
northwest n.西北 a.位于西北的
nose n.鼻子；突出部分
not ad.不，没有
note n.笔记；便条；注释
notebook n.笔记本，期票簿
nothing n.没有东西 ad.毫不
notice vt.注意 n.通知；注意
noticeable a.显而易见的；重要的
noun n.名词
novel n.小说 a.新的
November n.十一月
now ad.现在；立刻；于是
nowadays ad.现今，现在
nowhere ad.任何地方都不
nuclear a.原子核的；核心的
nucleus n.核，核心；(原子)核
nuisance n.讨厌的东西
number n.数，数字；号码
numerous a.为数众多的；许多
nurse n.保姆；护士 vt.看护
nursery n.托儿所；苗圃
nut n.坚果，干果；螺母
nylon n.尼龙，耐纶
oak                  n.栎属植物；栎木
oar                  n.浆，橹
obey                 vt.顺从 vi.服从
object               n.物，物体；目的
object               vi.反对；抱反感
objection            n.反对，异议；不喜欢
objective            a.客观的；无偏见的
oblige               vt.迫使；施恩惠于
observation          n.注意；观察；观察力
observe              vt.遵守；看到；说
observer             n.观察员，观测者
obstacle             n.障碍，障碍物，妨害
obtain               vt.获得，得到，买到
obvious              a.明显的，显而易见的
obviously            ad.明显地，显然地
occasion             n.场合，时刻；时机
occasional           a.偶然的；临时的
occasionally         ad.偶然；非经常地
occupation           n.占领，占据；职业
occupy               vt.占领；占，占有
occur                vi.发生；出现，存在
occurrence           n.发生，出现；事件
ocean                n.海洋；洋
Oceania              n.大洋洲
o'clock              ad.…点钟
October              n.十月
odd                  a.奇数的；单只的
odour                n.气味，香气；味道
of                   prep.…的；由于
off                  ad.(离)开；(停)止
offend               vt.冒犯 vi.犯过错
offer                vt.提供；提出 n.提供
office               n.办公室；处，局，社
officer              n.官员；干事；军官
official             a.官员的；官方的
often                ad.经常，常常
oh                   int.嗬，哦，唉呀
oil                  n.油；石油 vt.加油于
okay                 (缩作OK)a.&ad.对，好
old                  a.老的；…岁的
omit                 vt.省略，省去；遗漏
on                   prep.在…上；在…旁
once                 ad.一次；曾经 n.一次
one                  num.一 pron.一个人
oneself              pron.自己；亲自
onion                n.洋葱，洋葱头
only                 ad.只，仅仅 a.唯一的
onto                 prep.到…上
open                 a.开的；开放的 vt.开
opening              a.开始的 n.开始
opera                n.歌剧
operate              vi.操作；施行手术
operation            n.操作；手术；运算
operational          a.操作上的；可使用的
operator             n.操作人员，接线员
opinion              n.意见，看法，主张
