gene     n.基因
generalize       v.(generalise)归纳,概括;推广,普及
generate  vt.产生,发生;生殖
generator n.发电机,发生器
generous a.宽宏大量的,慷慨的
genetic    a.遗传(学)的 n.
genius     n.天才
genuine   a.真正的,名副其实的
geometry n.几何(学)
germ       n.微生物,细菌
gesture    n.姿势,姿态,手势 v.做手势
giant           n.巨人 a.巨大的
gigantic   a.巨大的,庞大的
giggle      vi.／n.痴笑；咯咯地笑 vt.咯咯地笑着说
glamor    n.(glamour)魅力;魔法 vt.迷惑
glare           vi.怒目而视;发射强光 n.强光;怒视;炫耀
glide     n./v.溜,滑行;(时间)消逝
glimpse   n./v.一瞥,瞥见
glitter      n.光辉,灿烂 v.闪闪发光;闪耀
global      a.球形的;全球的,全世界的;全面的
globe       n.球体,地球仪;地球,世界
gloomy    a.阴暗的,阴沉的,令人沮丧的,阴郁的
glorious   a.壮丽的,辉煌的;光荣的
glory       n.光荣,荣誉
glove       n.手套
glow       v.发热,发光,发红 n.白热
glue     n.胶,胶水 v.胶合,粘贴
gorgeous a.华丽的；灿烂的；美丽的；宜人的；棒的
gossip     n./v.(说)闲话,闲聊
govern    v.统治,管理;决定,支配
governor n.统治者,管理者,总督,州(省)长
gown      n.长袍，特殊场合穿的长服
grab     v./n.(at)抓(住);夺(得)
grace      n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
gracious  a.亲切的,客气的;宽厚的,仁慈的
gradual    a.逐渐的,逐步的
graduate  n.大学毕业生,研究生 v.大学毕业a.毕了业的
grain       n.谷物,谷类;颗粒,细粒
gramme   n.(gram)克
grand      a.盛大的,豪华的;重大的,主要的
grant       v.同意,准予;授予 n.授予物;津贴;转让证书
graph      n.图表,曲线图
graphic    a.绘画似的, 图解的,生动的
grasp      v./n.抓住,抓紧;掌握,领会
grateful   a.(to,for)感激的;感谢的
gratitude  n.感激,感谢
grave      n.坟墓 a.严肃的,庄重的
gravity    n.重力,引力;严肃,庄重
graze       vi.吃青草 vt.放牧;擦伤;掠过 .n.擦伤(处)
grease     n.动物脂,油脂,润滑脂 v.抹油,润滑
greedy     a.贪吃的,贪婪的,渴望的
greenhouse     n.温室
grief      n.悲伤，悲痛；悲伤的事，悲痛的缘由
grieve      v.使悲伤,使伤心
grim     a.严酷的，令人害怕的；不愉快的，讨厌的
grin      n./vi.露齿而笑，咧嘴一笑
grind       v.磨(碎),碾(碎)
grip      v./n.紧握,抓紧;掌握
groan      v./n.呻吟
grocer     n.食品商,杂货商
grope      n./v.摸索,探索
gross      a.总的,毛(重)的;粗鲁的,粗俗的 n.总额
guarantee n.保证,保证书 v.保证,担保
guidance  n.引导,指导
guideline  n.指导方针，指导原则，准则，标准
guilt     n.罪过,内疚
guilty      a.(of)有罪的,内疚的
gulf       n.海湾
gum       n.树胶;口香糖
gut     n.勇气，胆量；内脏；肠，肠线 a.本能的，直觉的 vt.毁坏（建筑物等）的内部；取出…的内脏
guy      n.家伙，伙计
gymnasium     n.(gym)体育馆，健身房
habitat     n.(动物的)栖息地，(植物的)产地
hail      v.下雹;欢呼,欢迎 n.雹
halt      n.止步,停步,停止前进 v.止步,(使)停止
hamper    v.妨碍,阻碍,牵制
handful    n.一把;少数;一小撮
handicap  v.妨碍 n.(身体或智力方面的)缺陷;不利条件
handwriting    n.笔迹,手迹,书法
handy      a.手边的,近便的;方便的
harassment     n.骚扰，扰乱；烦恼，烦乱
harbor     n.(harbour)海港;避难所 v.隐匿,窝藏
hardship  n.艰难,困苦
hardware n.五金,金属制品;硬件
harm       n./v.伤害,损害,危害
harmony  n.协调,和谐;融洽
harness   v.治理,利用 n.马具,挽具
harsh      a.粗糙的；(声音)刺耳的；苛刻的，严酷的
haste       n.匆忙,急速;草率 v.赶快;匆忙
hasty       a.匆忙的,仓促的;草率的
hatch      v.孵,孵出;策划,图谋 n.舱口,小门
hatred     n.憎恨,憎恶,怨恨
haul        v.拖曳,拖运,用力拖
hazard     n.危险,冒险,危害 v.冒险,拼命
heading   n.标题
headline   n.大字标题,新闻标题
headquarters   n.司令部,指挥部;总部,总局
heal    v.治愈,愈合
heap   n.(一)堆,大量,许多 v.(up)堆,堆起
hearing    n.听,倾听;听力;审讯
heave      v.(用力)举，提，拉；扔；拖；呕吐n.举起
hedge      n.篱笆,树篱,障碍物 v.用树篱围住
heel        n.脚后跟,踵,鞋跟
heir      n.继承人
helicopter       n.直升(飞)机
helmet     n.头盔,钢盔
hemisphere     n.半球
hence      ad.从此,今后;因此
henceforth      ad.今后
herb       n.药草，(调味用的)香草，草本植物
herd       n.群,兽群,牛群 v.放牧,群集
heritage   n.遗产,继承物;传统
heroic     a.英雄的，英勇的，崇高的
heroin     n.海洛因
heroine    n.女英雄;女主角
hesitate    v.犹豫,踌躇;含糊,支吾
hierarchy n.等级制度；统治集团，领导层
highlight  v.使显著,使突出;强调 n.最精彩的部分
hijack      v.劫持，劫机，拦路抢劫
hike        n.徒步旅行；增加vi.徒步旅行vt.提高
hinder     v.(from)阻止,妨碍 a.后面的
hinge       n.合页,铰链 vi.依…而定
hint      n.暗示,提示,线索 v.暗示,示意
hip       n.臀部，髋；屋脊
hitherto   ad.到目前为止,迄今
hoist           v.举起,升起,吊起
holder     n.持有者,占有者;(台,架等)支持物
holy       a.神圣的,圣洁的
homogeneous  a.同种类的，同性质的，有相同特征的
honorable       a.(honourable)可敬的;荣誉的,光荣的
hook       n.钩,吊钩,钩状物 v.钩住
hop  v.人单足跳;跳上(车等) n.蹦跳;短程飞行
horizon    n.地平线;眼界,见识
horizontal       a.地平线的;水平的
horn       n.(牛羊等的)角;号,喇叭;角状物;角制品
horrible   a.令人恐惧的，可怕的；极讨厌的，糟透的
hose     n.水龙带,软管 v.用软管(淋浇,冲洗)
hospitality       n.好客,殷勤,款待
host       n.主人;旅店老板;节目主持人;一大群,许多
hostage   n.人质
hostess    n.女主人,女主持人
hostile     a.敌对的,敌方的,敌意的
hound     n.猎狗；卑鄙的人 vt.用猎狗追，追逐
household       n.家庭，家人 a.家庭(务)的，家常的
hover      vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊
howl       n.怒吼，嗥叫 vi.(风等)怒吼，咆哮
huddle     n./v.拥挤;聚集v.(因寒冷、害怕而)缩成一团
hum       v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声
humanity n.人类,人性,人情;(pl.)人文科学
humble    a.谦卑的,恭顺的;地位低下的 v.降低,贬低
humid     a.湿的,湿气重的
humidity  n.湿气,湿度
humiliate  v.使羞辱，使丢脸
hurl        vt.猛投，力掷；大声叫骂
hurricane       n.飓风
hut   n.小屋,棚屋
hydrogen       n.氢
hypocrisy      n.伪善，虚伪
hypothesis      n.假说,假设,前提
hysterical       a.情绪异常激动的,歇斯底里的
ideal       a.理想的;空想的;理想主义的;唯心的 n.理想
identical   a.(to.with)同一的,同样的
identification   n.识别,鉴别;证件;认同
identify    v.识别,鉴别;(with)把…和…看成一样
identity    n.身份;本体;特征;同一(性);一致;国籍;等式
ideology  n.意识形态，(政治或社会的)思想意识
idiot       n.白痴；极蠢的人；笨蛋
idle        a.空闲的,闲置的;懒散的 v.空费,虚度
ignite       v.点火,引燃
ignorance          n.无知,愚昧;不知道
ignorant   a.无知的,愚昧的;不知道的
illegal      a.不合法的,非法的
illiterate   a.文盲的,未受教育的
illuminate vt.照亮，照明；用灯光装饰；说明，阐释
illustrate  v.举例说明,阐明;图解,加插图
illustration       n.说明；例证，插图；举例说明
image      n.形象，声誉；印象；像；形象的描述，比喻
imaginary       a.想象的,虚构的
imagination     n.想象(力)；空想，幻觉；想象出来的事物
imaginative     a.富有想象力的,爱想象的
imitate     v.模仿,仿效;仿造,伪造
imitation  n.模仿,仿效;仿制;仿造品
immense  a.广大的,巨大的;
immerse  v.使沉浸在;使浸没
immigrant       a.(从国外)移来的,移民的 n.移民,侨民
immune   a.免疫的,有免疫力的;有受影响的;豁免的
impact     n.冲击,碰撞;影响 v.影响;挤入,压紧
impair     v.损害,损伤;削弱,减少
impart     vt.传授，给予；告知，通知
impatient a.不耐烦的,急躁的
imperative       n.命令;需要;规则;祈使语气a.强制的;紧急的
imperial   a.帝国的，帝王的；(度量衡)英制的
impetus   n.推动(力),促进
implement      n.(pl.)工具,器具 v.贯彻,实现
implication      n.含意，暗示，暗指；牵连
implicit    a.含蓄的;(in)固有的;无疑问的;绝对的
imply      v.意指,含…意思,暗示
import     v./n.进口,输入,(pl.)进口商品;要旨,含意
impose    v.征(税);(on)把…强加给
impress   v.(on)印,盖印;留下印象,引人注目
