sympathy             n.同情；一致，同感
synthetic            a.综合的；合成的
system               n.系统，体系；制度
systematic(al)       a.有系统的；有计划的
table                n.桌子；餐桌；项目表
tablet               n.碑，匾；药片
tag                  n.附加语；标签
tail                 n.尾巴；末尾部分
tailor               n.裁缝 vt.裁制衣服
take                 vt.拿；抓；拿走；吃
tale                 n.故事，传说
talent               n.天才；才能；人才
talk                 vi.讲话 vt.谈论
tall                 n.高的，身材高的
tame                 a.驯服的；顺从的
tan                  n.棕褐色 a.棕黄色的
tank                 n.坦克；大容器，槽
tap                  vt.&vi.&n.轻叩
tap                  n.塞子；龙头 vt.开发
tape                 n.线带；磁带，录音带
target               n.靶，标的；目标
task                 n.任务，工作，作业
taste                vt.尝；尝到 n.味觉
tax                  n.税，税款；负担
taxi                 n.出租汽车
tea                  n.茶；茶叶；茶树
teach                vt.讲；教育 vt.教书
teacher              n.教师，老师，先生
teaching             n.教学，讲授；教导
team                 n.队，组
tear                 n.眼泪，泪珠
tear                 vt.撕开，撕裂
technical            a.技术的，工艺的
technician           n.技术员，技师
technique            n.技术，技巧；技能
technology           n.工艺学，工艺，技术
tedious              a.冗长乏味的，沉闷的
teenager             n.青少年
telegram             n.电报
telegraph            n.电报机；电报
telephone            n.电话 vi.打电话
telescope            n.望远镜
television           n.电视；电视机
tell                 vt.讲述；吩咐；辨别
temper               n.韧度；心情，情绪
temperature          n.温度；体温
temple               n.圣堂，神殿，庙宇
temporary            a.暂时的，临时的
tempt                vt.引诱，诱惑；吸引
temptation           n.诱惑，引诱
ten                  num.十，十个
tenant               n.承担人，房客，佃户
tend                 vt.照管，照料，护理
tend                 vi.走向，趋向；倾向
tendency             n.趋向，趋势，倾向
tender               a.嫩的；脆弱的
tennis               n.网球，网球运动
tense                n.时态，时
tense                a.拉紧的，绷紧的
tent                 n.帐篷
tenth                num.第十；十分之一
term                 n.期；学期；条件；词
terminal             a.末端的 n.末端
terrible             a.可怕的；极度的
terrific             a.可怕的；极大的
territory            n.领土，版图；领域
terror               n.恐怖，惊骇
test                 n.&vt.试验；检验
text                 n.原文，本文；课文
textbook             n.课本，教科书
textile              n.纺织品 a.纺织的
than                 conj.(比较级)比
thank                vt.谢谢，感谢 n.感谢
that                 a.那 pron.那 ad.那样
the                  art.(定冠词)这，那
theatre              n.戏院；戏剧；教室
